MaSV,HoSV,TenDemSV,TenSV,NgaySinh,DiaDiem,GioiTinh,CCCD,Email,SDT
20210001,Vũ,Hồng,Thùy,2003-08-20,Lào Cai                                                                                             ,Nữ        ,40204010001,,12345001
20210002,Phạm,Hồng,Thi,2003-11-19,Điện Biên                                                                                           ,Nữ        ,40204010002,,12345002
20210003,Lý,Thu,Huỳnh,2003-06-06,Quảng Nam                                                                                           ,Nữ        ,40204010003,,12345003
20210004,Dương,Quỳnh,Hợp,2003-05-13,Quảng Nam                                                                                           ,Nữ        ,40204010004,,12345004
20210005,Hoàng,Thành,Hồng,2003-07-13,Tuyên Quang                                                                                         ,Nam       ,40204010005,,12345005
20210006,Nguyễn,Hồng,Tranh,2003-09-17,Cao Bằng                                                                                            ,Nữ        ,40204010006,,12345006
20210007,Ngô,Bình,Hoàn,2003-11-09,Bắc Ninh                                                                                            ,Nam       ,40204010007,,12345007
20210008,Lê,Hải,Sa,2003-01-04,Thái Nguyên                                                                                         ,Nữ        ,40204010008,,12345008
20210009,Võ,Tâm,Chiêu,2003-09-15,Sơn La                                                                                              ,Nam       ,40204010009,,12345009
20210010,Phan,Tâm,Thủy,2003-04-18,Lai Châu                                                                                            ,Nữ        ,40204010010,,12345010
20210011,Huỳnh,Minh,Cát,2003-04-27,Phú Thọ                                                                                             ,Nam       ,40204010011,,12345011
20210012,Dương,Duy,Thêu,2003-08-20,Yên Bái                                                                                             ,Nam       ,40204010012,,12345012
20210013,Võ,Lan,Nữ,2003-05-13,Hà Nội                                                                                              ,Nam       ,40204010013,,12345013
20210014,Trần,Văn,Thoa,2003-04-25,Quảng Ninh                                                                                          ,Nam       ,40204010014,,12345014
20210015,Bùi,Minh,Hồng,2003-06-07,Hà Nội                                                                                              ,Nam       ,40204010015,,12345015
20210016,Võ,Lan,Tiên,2003-04-16,Hải Phòng                                                                                           ,Nữ        ,40204010016,,12345016
20210017,Bùi,Bình,Nghi,2003-02-16,Hà Nam                                                                                              ,Nữ        ,40204010017,,12345017
20210018,Dương,Văn,Quân,2003-11-04,Cao Bằng                                                                                            ,Nữ        ,40204010018,,12345018
20210019,Trần,Hồng,Khánh,2003-06-08,Hà Nam                                                                                              ,Nữ        ,40204010019,,12345019
20210020,Nguyễn,Hồng,Sơn,2003-12-12,Bắc Kạn                                                                                             ,Nam       ,40204010020,,12345020
20210021,Đặng,Duy,Nguyết,2003-05-09,Bắc Kạn                                                                                             ,Nam       ,40204010021,,12345021
20210022,Lý,Thu,Mẫn,2003-02-16,Sơn La                                                                                              ,Nữ        ,40204010022,,12345022
20210023,Đỗ,Thị,Diệu,2003-05-27,Hưng Yên                                                                                            ,Nam       ,40204010023,,12345023
20210024,Lý,Đức,Thoại,2003-11-12,Bình Thuận                                                                                          ,Nữ        ,40204010024,,12345024
20210025,Vũ,Tâm,Nhã,2003-10-11,Hà Nam                                                                                              ,Nữ        ,40204010025,,12345025
20210026,Đinh,Thu,Lưu,2003-12-10,Thanh Hóa                                                                                           ,Nam       ,40204010026,,12345026
20210027,Đỗ,Thu,Lý,2003-01-05,Bắc Ninh                                                                                            ,Nữ        ,40204010027,,12345027
20210028,Dương,Thị,Thu,2003-05-02,Hà Tĩnh                                                                                             ,Nam       ,40204010028,,12345028
20210029,Bùi,Đức,Sao,2003-08-15,Hải Phòng                                                                                           ,Nam       ,40204010029,,12345029
20210030,Lý,Đức,Lan,2003-03-19,Hà Nội                                                                                              ,Nữ        ,40204010030,,12345030
