MaGV,HoGV,TenDemGV,TenGV,GioiTinh,Email,SDT
12340001,Hoàng,Duy,Lan,Nữ        ,lan.hoangduy@hust.edu.vn                                                                            ,98765001
12340002,Nguyễn,Hải,Nhiên,Nữ        ,nhien.nguyenhai@hust.edu.vn                                                                         ,98765002
12340003,Nguyễn,Văn,Thoại,Nữ        ,thoai.nguyenvan@hust.edu.vn                                                                         ,98765003
12340004,Ngô,Đức,Bằng,Nam       ,bang.ngoduc@hust.edu.vn                                                                             ,98765004
12340005,Hoàng,Văn,Dã,Nữ        ,da.hoangvan@hust.edu.vn                                                                             ,98765005
12340006,Lý,Lan,Ngôn,Nam       ,ngon.lylan@hust.edu.vn                                                                              ,98765006
12340007,Bùi,Lan,Nhan,Nữ        ,nhan.builan@hust.edu.vn                                                                             ,98765007
12340008,Ngô,Thu,Vũ,Nữ        ,vu.ngothu@hust.edu.vn                                                                               ,98765008
12340009,Đỗ,Thành,Dân,Nam       ,dan.dothanh@hust.edu.vn                                                                             ,98765009
12340010,Lý,Hồng,Quyên,Nam       ,quyen.lyhong@hust.edu.vn                                                                            ,98765010
12340011,Võ,Minh,Ca,Nam       ,ca.vominh@hust.edu.vn                                                                               ,98765011
12340012,Ngô,Đức,Tuyến,Nam       ,tuyen.ngoduc@hust.edu.vn                                                                            ,98765012
12340013,Nguyễn,Duy,Trung,Nữ        ,trung.nguyenduy@hust.edu.vn                                                                         ,98765013
12340014,Võ,Lan,Ðàn,Nam       ,ðan.volan@hust.edu.vn                                                                               ,98765014
12340015,Huỳnh,Duy,Ðan,Nữ        ,ðan.huynhduy@hust.edu.vn                                                                            ,98765015
12340016,Phạm,Hồng,Ánh,Nữ        ,anh.phamhong@hust.edu.vn                                                                            ,98765016
12340017,Nguyễn,Đức,Trà,Nam       ,tra.nguyenduc@hust.edu.vn                                                                           ,98765017
12340018,Lê,Thành,Cầm,Nữ        ,cam.lethanh@hust.edu.vn                                                                             ,98765018
12340019,Lý,Hồng,Hường,Nữ        ,huong.lyhong@hust.edu.vn                                                                            ,98765019
12340020,Lê,Thị,Di,Nữ        ,di.lethi@hust.edu.vn                                                                                ,98765020
12340021,Bùi,Hải,Nga,Nữ        ,nga.buihai@hust.edu.vn                                                                              ,98765021
12340022,Bùi,Minh,Nhã,Nam       ,nha.buiminh@hust.edu.vn                                                                             ,98765022
12340023,Lý,Duy,Tiên,Nam       ,tien.lyduy@hust.edu.vn                                                                              ,98765023
12340024,Trần,Hồng,Hưởng,Nam       ,huong.tranhong@hust.edu.vn                                                                          ,98765024
12340025,Lý,Lan,Hợp,Nam       ,hop.lylan@hust.edu.vn                                                                               ,98765025
12340026,Ngô,Duy,Uyên,Nam       ,uyen.ngoduy@hust.edu.vn                                                                             ,98765026
12340027,Ngô,Hồng,Khả,Nữ        ,kha.ngohong@hust.edu.vn                                                                             ,98765027
12340028,Hồ,Tâm,Bội,Nam       ,boi.hotam@hust.edu.vn                                                                               ,98765028
12340029,Phan,Đức,Thùy,Nữ        ,thuy.phanduc@hust.edu.vn                                                                            ,98765029
12340030,Bùi,Quỳnh,Nhất,Nam       ,nhat.buiquynh@hust.edu.vn                                                                           ,98765030
12340031,Huỳnh,Tâm,Ðinh,Nữ        ,ðinh.huynhtam@hust.edu.vn                                                                           ,98765031
12340032,Vũ,Bình,Hương,Nữ        ,huong.vubinh@hust.edu.vn                                                                            ,98765032
12340033,Dương,Lan,Vinh,Nam       ,vinh.duonglan@hust.edu.vn                                                                           ,98765033
12340034,Đinh,Minh,My,Nữ        ,my.dinhminh@hust.edu.vn                                                                             ,98765034
12340035,Phan,Đức,Hiểu,Nam       ,hieu.phanduc@hust.edu.vn                                                                            ,98765035
12340036,Trần,Lan,Lễ,Nữ        ,le.tranlan@hust.edu.vn                                                                              ,98765036
12340037,Bùi,Duy,Tranh,Nữ        ,tranh.buiduy@hust.edu.vn                                                                            ,98765037
12340038,Hồ,Thị,Tuyết,Nam       ,tuyet.hothi@hust.edu.vn                                                                             ,98765038
12340039,Trần,Lan,Đức,Nam       ,duc.tranlan@hust.edu.vn                                                                             ,98765039
