MaSV,HoSV,TenDemSV,TenSV,NgaySinh,DiaDiem,GioiTinh,CCCD,Email,SDT
20210001,Vũ,Hồng,Thùy,2003-08-20,Lào Cai                                                                                             ,Nữ        ,40204010001,thuy.vu210001@sis.hust.edu.vn                                                                       ,12345001
20210002,Phạm,Hồng,Thi,2003-11-19,Điện Biên                                                                                           ,Nữ        ,40204010002,thi.pham210002@sis.hust.edu.vn                                                                      ,12345002
20210003,Lý,Thu,Huỳnh,2003-06-06,Quảng Nam                                                                                           ,Nữ        ,40204010003,huynh.ly210003@sis.hust.edu.vn                                                                      ,12345003
20210004,Dương,Quỳnh,Hợp,2003-05-13,Quảng Nam                                                                                           ,Nữ        ,40204010004,hop.duong210004@sis.hust.edu.vn                                                                     ,12345004
20210005,Hoàng,Thành,Hồng,2003-07-13,Tuyên Quang                                                                                         ,Nam       ,40204010005,hong.hoang210005@sis.hust.edu.vn                                                                    ,12345005
20210006,Nguyễn,Hồng,Tranh,2003-09-17,Cao Bằng                                                                                            ,Nữ        ,40204010006,tranh.nguyen210006@sis.hust.edu.vn                                                                  ,12345006
20210007,Ngô,Bình,Hoàn,2003-11-09,Bắc Ninh                                                                                            ,Nam       ,40204010007,hoan.ngo210007@sis.hust.edu.vn                                                                      ,12345007
20210008,Lê,Hải,Sa,2003-01-04,Thái Nguyên                                                                                         ,Nữ        ,40204010008,sa.le210008@sis.hust.edu.vn                                                                         ,12345008
20210009,Võ,Tâm,Chiêu,2003-09-15,Sơn La                                                                                              ,Nam       ,40204010009,chieu.vo210009@sis.hust.edu.vn                                                                      ,12345009
20210010,Phan,Tâm,Thủy,2003-04-18,Lai Châu                                                                                            ,Nữ        ,40204010010,thuy.phan210010@sis.hust.edu.vn                                                                     ,12345010
20210011,Huỳnh,Minh,Cát,2003-04-27,Phú Thọ                                                                                             ,Nam       ,40204010011,cat.huynh210011@sis.hust.edu.vn                                                                     ,12345011
20210012,Dương,Duy,Thêu,2003-08-20,Yên Bái                                                                                             ,Nam       ,40204010012,theu.duong210012@sis.hust.edu.vn                                                                    ,12345012
20210013,Võ,Lan,Nữ,2003-05-13,Hà Nội                                                                                              ,Nam       ,40204010013,nu.vo210013@sis.hust.edu.vn                                                                         ,12345013
20210014,Trần,Văn,Thoa,2003-04-25,Quảng Ninh                                                                                          ,Nam       ,40204010014,thoa.tran210014@sis.hust.edu.vn                                                                     ,12345014
20210015,Bùi,Minh,Hồng,2003-06-07,Hà Nội                                                                                              ,Nam       ,40204010015,hong.bui210015@sis.hust.edu.vn                                                                      ,12345015
20210016,Võ,Lan,Tiên,2003-04-16,Hải Phòng                                                                                           ,Nữ        ,40204010016,tien.vo210016@sis.hust.edu.vn                                                                       ,12345016
20210017,Bùi,Bình,Nghi,2003-02-16,Hà Nam                                                                                              ,Nữ        ,40204010017,nghi.bui210017@sis.hust.edu.vn                                                                      ,12345017
20210018,Dương,Văn,Quân,2003-11-04,Cao Bằng                                                                                            ,Nữ        ,40204010018,quan.duong210018@sis.hust.edu.vn                                                                    ,12345018
20210019,Trần,Hồng,Khánh,2003-06-08,Hà Nam                                                                                              ,Nữ        ,40204010019,khanh.tran210019@sis.hust.edu.vn                                                                    ,12345019
20210020,Nguyễn,Hồng,Sơn,2003-12-12,Bắc Kạn                                                                                             ,Nam       ,40204010020,son.nguyen210020@sis.hust.edu.vn                                                                    ,12345020
20210021,Đặng,Duy,Nguyết,2003-05-09,Bắc Kạn                                                                                             ,Nam       ,40204010021,nguyet.dang210021@sis.hust.edu.vn                                                                   ,12345021
20210022,Lý,Thu,Mẫn,2003-02-16,Sơn La                                                                                              ,Nữ        ,40204010022,man.ly210022@sis.hust.edu.vn                                                                        ,12345022
20210023,Đỗ,Thị,Diệu,2003-05-27,Hưng Yên                                                                                            ,Nam       ,40204010023,dieu.do210023@sis.hust.edu.vn                                                                       ,12345023
20210024,Lý,Đức,Thoại,2003-11-12,Bình Thuận                                                                                          ,Nữ        ,40204010024,thoai.ly210024@sis.hust.edu.vn                                                                      ,12345024
20210025,Vũ,Tâm,Nhã,2003-10-11,Hà Nam                                                                                              ,Nữ        ,40204010025,nha.vu210025@sis.hust.edu.vn                                                                        ,12345025
20210026,Đinh,Thu,Lưu,2003-12-10,Thanh Hóa                                                                                           ,Nam       ,40204010026,luu.dinh210026@sis.hust.edu.vn                                                                      ,12345026
20210027,Đỗ,Thu,Lý,2003-01-05,Bắc Ninh                                                                                            ,Nữ        ,40204010027,ly.do210027@sis.hust.edu.vn                                                                         ,12345027
20210028,Dương,Thị,Thu,2003-05-02,Hà Tĩnh                                                                                             ,Nam       ,40204010028,thu.duong210028@sis.hust.edu.vn                                                                     ,12345028
20210029,Bùi,Đức,Sao,2003-08-15,Hải Phòng                                                                                           ,Nam       ,40204010029,sao.bui210029@sis.hust.edu.vn                                                                       ,12345029
20210030,Lý,Đức,Lan,2003-03-19,Hà Nội                                                                                              ,Nữ        ,40204010030,lan.ly210030@sis.hust.edu.vn                                                                        ,12345030
20210031,Nguyễn,Tâm,Loan,2003-01-06,Điện Biên                                                                                           ,Nữ        ,40204010031,loan.nguyen210031@sis.hust.edu.vn                                                                   ,12345031
20210032,Lê,Thu,Thiên,2003-04-14,Hải Dương                                                                                           ,Nữ        ,40204010032,thien.le210032@sis.hust.edu.vn                                                                      ,12345032
20210033,Võ,Thị,Hậu,2003-08-27,Hà Tĩnh                                                                                             ,Nữ        ,40204010033,hau.vo210033@sis.hust.edu.vn                                                                        ,12345033
20210034,Vũ,Thu,Khuyên,2003-05-21,Bình Định                                                                                           ,Nữ        ,40204010034,khuyen.vu210034@sis.hust.edu.vn                                                                     ,12345034
20210035,Vũ,Văn,Họa,2003-10-01,Vĩnh Phúc                                                                                           ,Nam       ,40204010035,hoa.vu210035@sis.hust.edu.vn                                                                        ,12345035
20210036,Phan,Thị,Thùy,2003-08-24,Tuyên Quang                                                                                         ,Nam       ,40204010036,thuy.phan210036@sis.hust.edu.vn                                                                     ,12345036
20210037,Lê,Duy,Hiểu,2003-03-27,Lạng Sơn                                                                                            ,Nam       ,40204010037,hieu.le210037@sis.hust.edu.vn                                                                       ,12345037
20210038,Nguyễn,Duy,Lưu,2003-06-28,Vĩnh Phúc                                                                                           ,Nữ        ,40204010038,luu.nguyen210038@sis.hust.edu.vn                                                                    ,12345038
20210039,Phạm,Hải,Nguyên,2003-04-07,Hoà Bình                                                                                            ,Nam       ,40204010039,nguyen.pham210039@sis.hust.edu.vn                                                                   ,12345039
20210040,Đặng,Hải,Mộc,2003-02-14,Hưng Yên                                                                                            ,Nữ        ,40204010040,moc.dang210040@sis.hust.edu.vn                                                                      ,12345040
20210041,Đặng,Tâm,Sương,2003-12-01,Yên Bái                                                                                             ,Nam       ,40204010041,suong.dang210041@sis.hust.edu.vn                                                                    ,12345041
